Open,High,Low,Close,Volume,ret5,ma5,ret20,ma20,ret60,ma60,ret120,ma120,ma20_slope,rsi14,volume_ma20,volume_ratio,ma20_deviation,symbol,date,benchmark_ret20,benchmark_ret60,market_regime,rs20_rank_pct,rs60_rank_pct,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score,fundamental_score,fundamental_pass,technical_score,score,final_score,fundamental_rank,pass_market,pass_score,pass_rs20,pass_rs60,pass_close_ma20,pass_ma20_ma60,pass_ma20_slope,pass_rsi,pass_ret20_benchmark,pass_ret60_benchmark,pass_ret5_cap,pass_ret20_cap,pass_volume_ratio,pass_ma20_deviation,pass_fundamental_score,pass_fundamental_filter,pass_fundamental_universe,entry_pass_count,entry_all_pass,close_ma60_ratio,close_ma120_ratio,above_ma120,turnover20,liquidity_rank,price_bucket,eva_rank_bucket,forward_60d_return,forward_60d_max_drawdown,reward_60,fwd60_rank_label,top_quantile_60,reg_forward60,reg_reward60,cls_topq60,rank_forward60,ensemble_score,ranker_score,stable_ensemble_score,fundamental_rank_score,fundamental_score_rank,final_score_rank,stable_ml_rank,fund_ml_85_15,fund_final_ml,name
24.149999618530277,24.350000381469727,24.0,24.200000762939453,26139127.0,-0.012244866818797884,24.35,0.01043841302864812,24.319999980926514,0.05908097850906446,24.414166673024496,0.09009008699399623,24.56000000635783,0.0021633856726800587,38.98306728537975,34987553.3,0.7470978829491345,-0.0049341783750482815,1101.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.5462962962962963,0.46987951807228917,2026-03-31,2026-05-15,33168148000.0,6208390000.0,2792191000.0,2132735000.0,927996000.0,718189000.0,0.1,184722314000.0,82516661000.0,597615286000.0,292869670000.0,304745616000.0,97044326000.0,5704442000.0,70674580000.0,98473452000.0,0.4,1675314600.0,515098625000.0,0.0032524152049522,0.0023566836150975,0.0012017580822054,0.961029969336786,0.1871792781435972,0.0841829034289162,0.021652972604922,-0.0511527050022949,,,23.33964555046912,23.33964555046912,False,36.86412315930388,36.86412315930388,33.48300375709519,802.0,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,6,False,-0.008772198246753127,-0.014657949646790791,0.0,846698816.5533847,0.18611111111111112,0.0,3.0,,,,,,,,,,,,,,,,,,,台泥
35.70000076293945,36.09999847412109,35.5,36.0,11941961.0,0.011235998399541591,35.87999954223633,0.08270676691729317,34.607500076293945,0.04347826086956519,34.91916675567627,-0.008264441966000402,35.287916628519696,0.01272952943151803,70.00000847711229,26529038.7,0.45014676690867056,0.04023694056595306,1102.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.2574074074074074,0.4986098239110287,2026-03-31,2026-05-15,14829491000.0,1928135000.0,1184173000.0,2141327000.0,350025000.0,1887022000.0,0.56,94593171000.0,73132379000.0,329731256000.0,128784897000.0,200946359000.0,15235953000.0,28787827000.0,4255757000.0,36700000000.0,0.1634617225673612,990606041.60224,256598877000.0,0.0038605236826591,0.0093906752498063,0.0057229090832687,0.6408919158371016,0.1300203088561839,0.0798525721482955,0.1272479277946896,-0.1063722306154607,,,24.23843577719405,24.23843577719405,False,48.165610560498145,48.165610560498145,42.18381686467212,778.0,True,False,True,True,True,False,True,True,True,False,True,True,False,True,False,False,False,10,False,0.030952435145034762,0.02017924092760981,1.0,955045393.1999999,0.16574074074074074,1.0,3.0,,,,,,,,,,,,,,,,,,,亞泥
13.5,13.649999618530272,13.5,13.600000381469728,279411.0,-0.007299228407855907,13.720000076293946,0.026415123129790885,13.512499952316285,-0.007299228407855907,13.500833336512247,-0.021582679517531123,13.69750000635783,0.011225444380562864,51.85185970102658,382346.45,0.730779637158917,0.006475517444012535,1103.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.4537037037037037,0.6348470806302131,2026-03-31,2026-05-15,688370000.0,145582000.0,15792000.0,68393000.0,17068000.0,51804000.0,0.08,9362513000.0,3870134000.0,32757303000.0,14017768000.0,18739535000.0,1970746000.0,2079035000.0,6393331000.0,,0.2495577032737268,11850984.749901306,28887169000.0,0.0004102508193136,0.0027644229165771,0.0015814488756904,0.7480317948124113,0.2114880079027267,0.0229411508345802,0.0752560396298502,-0.0851921990763813,,,18.621217318355463,18.621217318355463,False,46.05733832680127,46.05733832680127,39.19830807468982,884.0,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,8,False,0.007345253621440451,-0.007118059853465697,0.0,5199911.8658535965,0.8074074074074075,0.0,3.0,,,,,,,,,,,,,,,,,,,嘉泥
27.100000381469727,27.299999237060547,26.600000381469727,26.850000381469727,2931515.0,-0.014332203949033784,27.11552734375,-0.018281535394009008,28.04542350769043,-0.09137052200680196,28.408474477132163,-0.109452712398456,29.09423721631368,-0.003149852731534275,26.582266867606307,1259891.45,2.326799661986753,-0.04262453465510696,1104.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.6972222222222222,0.8637627432808156,2026-03-31,2026-05-15,1759047000.0,491646000.0,285740000.0,347360000.0,56881000.0,284208000.0,0.41,7669095000.0,4410523000.0,31541057000.0,5780531000.0,25760526000.0,1637303000.0,2780000000.0,,,0.1637523030861354,238949416.91616768,27130534000.0,0.0088073982220979,0.0110326939752705,0.0090107316314732,0.2243949133647348,0.2794956587288458,0.1624402304202218,0.1615693042880605,-0.0879406052096436,,,42.753988441989705,42.753988441989705,False,12.489264751312945,12.489264751312945,20.055445673982135,464.0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,5,False,-0.05485947853049811,-0.07713681641344317,0.0,33828085.91311044,0.5675925925925925,0.0,3.0,,,,,,,,,,,,,,,,,,,環泥
13.75,13.850000381469728,13.699999809265137,13.800000190734863,352168.0,-0.003610121975286096,13.859999847412109,0.022222236350730507,13.787500047683716,-0.07382546684279123,14.235000117619832,-0.07692305238810582,14.635416706403097,0.00437078436139337,43.33332697549238,405135.5,0.869259790860095,0.000906628685977573,1108.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.47962962962962963,0.8322520852641334,2026-03-31,2026-05-15,980706000.0,158238000.0,88910000.0,86131000.0,17242000.0,68889000.0,0.17,5834525000.0,4480873000.0,10345312000.0,4923631000.0,5421681000.0,298989000.0,1342000000.0,201500000.0,,0.2001834415018982,71111690.21606623,5864439000.0,0.0121259152352111,0.0127062068019125,0.0066589581831848,0.9081373470700324,0.1613511082832164,0.0906591781838797,0.0702442933967978,-0.1913103709872929,,,28.9506364989466,28.9506364989466,False,29.880361370005907,29.880361370005907,29.64793015224108,699.0,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,7,False,-0.030558477224494895,-0.05708184006149497,0.0,5590869.977273464,0.7972222222222223,0.0,3.0,,,,,,,,,,,,,,,,,,,幸福
14.399999618530272,14.550000190734863,14.350000381469728,14.5,104733.0,-0.013605429378242606,14.539999771118165,0.0,14.63499994277954,-0.049180327868852514,15.029999907811483,-0.06752412719328993,15.240833274523418,-3.258197236892916e-09,33.33327278242881,161934.35,0.6467620983441746,-0.009224458032618288,1109.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.6064814814814815,0.7599629286376274,2026-03-31,2026-05-15,855342000.0,53309000.0,-15946000.0,-12152000.0,3605000.0,4151000.0,0.01,5601241000.0,928832000.0,11463030000.0,1056245000.0,10406785000.0,2121130000.0,,,,0.0,-15946000.0,10534198000.0,-0.0015137364989722,0.0003988743881996,0.0003621206609421,0.1014958029785375,0.0623247776912626,-0.0186428352635553,0.0048530295484145,-0.133860707580701,,,14.529380265008111,14.529380265008111,False,17.80648233961487,17.80648233961487,16.98720682096318,971.0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,4,False,-0.035262801800552745,-0.04860844949742971,0.0,2348048.075,0.8953703703703704,0.0,3.0,,,,,,,,,,,,,,,,,,,信大
15.350000381469728,15.600000381469728,15.350000381469728,15.5,65776.0,-0.015873015873015928,15.570000076293946,0.1071428571428572,15.309999990463258,0.009771961876388513,15.064999961853028,-0.05487802679662068,15.607083288828532,0.02528043254030537,34.48278356814525,371204.3,0.17719622321185396,0.012410190049320313,1110.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.2037037037037037,0.5801668211306765,2026-03-31,2026-05-15,582643000.0,83497000.0,44070000.0,33666000.0,8657000.0,25695000.0,0.05,2827051000.0,1931603000.0,12789768000.0,3130316000.0,9659452000.0,402347000.0,1166000000.0,483161000.0,,0.2571437058159567,32737676.884690788,10858165000.0,0.0030150284955782,0.0026600887917865,0.0020090278416309,0.3240676593247732,0.1433073082487904,0.0756380836979076,0.0441007615297875,-0.2132017328270251,,,22.850230007474945,22.850230007474945,False,55.418900864732,55.418900864732,47.27673315041774,812.0,True,False,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,9,False,0.02887487814460421,-0.006861198011622216,0.0,5753666.649999999,0.7925925925925926,0.0,3.0,,,,,,,,,,,,,,,,,,,東泥
12.350000381469728,12.5,12.350000381469728,12.399999618530272,533134.0,0.0,12.439999961853028,0.008130034654042939,12.359999990463256,-0.08148150973849844,12.632499996821085,-0.1564626000393019,13.481249992052714,0.006719603572249915,42.857116906825944,511749.25,1.041787555135645,0.003236215865524139,1201.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.5583333333333333,0.8433734939759037,2026-03-31,2026-05-15,5001067000.0,1370784000.0,39544000.0,115681000.0,13929000.0,101516000.0,0.2,6636593000.0,6226099000.0,18440986000.0,10657178000.0,7783808000.0,1265176000.0,2295941000.0,3358980000.0,,0.1204087101598361,34782557.96543944,12214887000.0,0.0028475546245691,0.0130419455361694,0.0055049117221823,1.3691470807090822,0.2740983074211963,0.0079071126221664,0.0202988682215215,-0.0395234363896859,,,23.86207123535312,23.86207123535312,False,27.783576932193128,27.783576932193128,26.803200507983128,788.0,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,7,False,-0.018404937925930898,-0.08020401477309935,0.0,6345690.504783153,0.7777777777777778,0.0,3.0,,,,,,,,,,,,,,,,,,,味全
43.45000076293945,43.45000076293945,43.45000076293945,43.45000076293945,1238.0,0.006952473382431323,43.17000045776367,0.01756440249647362,43.06500015258789,0.09860939572975735,42.49500007629395,0.08897240855387034,41.0479167620341,0.00425581708084312,44.82760208256053,19305.9,0.06412547459584893,0.008939988598338111,1203.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.5027777777777778,0.40593141797961074,2026-03-31,2026-05-15,1323768000.0,456272000.0,208493000.0,249342000.0,68578000.0,116595000.0,0.49,5022031000.0,1735171000.0,10736920000.0,3144376000.0,7592544000.0,2426460000.0,788000000.0,42900000.0,0.0,0.2750358944742562,151149941.2533789,9001749000.0,0.0167911748320664,0.015356512915829,0.0108592594524314,0.4141399773251232,0.3446767107227248,0.1574996525070858,0.0880781224504596,-0.1421895108456875,,,48.49143294825629,48.49143294825629,False,50.5133802670379,50.5133802670379,50.007893437342496,388.0,True,False,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,8,False,0.022473248262876444,0.05851902338505721,1.0,838841.3697292329,0.9722222222222222,1.0,3.0,,,,,,,,,,,,,,,,,,,味王
54.59999847412109,55.5,54.5,54.79999923706055,1690118.0,-0.014388475881575769,54.779999542236325,0.051823432668248515,54.194999885559085,0.014814800686306473,53.75833314259847,0.08300397015006844,52.76833340326945,0.01062936849527431,60.78428585960731,5597857.85,0.30192227907323516,0.011163379514327998,1210.TW,2026-06-24,0.07042960199025838,0.41358835371965186,bull,0.35555555555555557,0.5634847080630213,2026-03-31,2026-05-15,26901827000.0,3784019000.0,1180916000.0,1208431000.0,239406000.0,788702000.0,0.94,32105270000.0,38581024000.0,76955549000.0,42538320000.0,34417229000.0,7061143000.0,20244237000.0,40800000.0,,0.1981130904453791,946961081.6836046,38374525000.0,0.0246768157178129,0.0229159064490636,0.0102487996024822,1.235960047800478,0.1406602979046739,0.0438972416260055,0.0293177857399796,0.0563562746423034,,,36.259563246145234,36.259563246145234,False,60.936814879737696,60.936814879737696,54.76750197133958,585.0,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False,9,False,0.019376830224608677,0.038501610772214034,1.0,306762605.90917337,0.2935185185185185,1.0,3.0,,,,,,,,,,,,,,,,,,,大成
